,age,gender,height_cm,weight_kg,body fat_%
0,27.0,M,172.3,75.24,21.3
1,25.0,M,165.0,55.8,15.7
2,31.0,M,179.6,78.0,20.1
3,32.0,M,174.5,71.1,18.4
4,28.0,M,173.8,67.7,17.1
5,36.0,F,165.4,55.4,22.0
6,42.0,F,164.5,63.7,32.2
7,33.0,M,174.9,77.2,36.9
8,54.0,M,166.8,67.5,27.6
9,28.0,M,185.0,84.6,14.4
10,42.0,M,169.2,65.4,19.3
11,57.0,F,153.0,49.0,20.9
12,27.0,F,156.0,53.9,35.5
13,22.0,M,175.7,67.9,11.3
14,24.0,M,181.0,84.4,20.4
15,45.0,F,159.0,63.1,30.9
16,25.0,F,164.2,66.6,30.2
17,26.0,M,179.9,71.5,9.7
18,26.0,M,169.2,70.6,21.0
19,21.0,F,162.7,47.2,18.9
20,25.0,F,161.7,63.36,31.3
21,59.0,F,155.9,62.7,30.2
22,38.0,M,166.7,67.3,23.2
23,44.0,M,170.0,63.3,12.9
24,23.0,F,164.1,59.4,29.6
25,62.0,M,169.0,70.7,30.5
26,47.0,F,158.3,53.5,29.2
27,48.0,M,175.8,84.5,31.4
28,36.0,M,176.0,81.3,24.5
29,50.0,F,159.8,57.1,24.4
30,25.0,M,170.9,70.7,15.7
31,26.0,M,176.7,77.2,16.3
32,28.0,F,159.5,51.54,24.5
33,30.0,M,172.1,79.5,26.7
34,49.0,F,151.5,52.0,27.6
35,40.0,M,177.6,88.6,20.3
36,21.0,M,172.5,66.4,12.5
37,31.0,M,177.5,79.5,23.0
38,32.0,M,178.0,84.5,21.2
39,27.0,M,177.6,79.7,22.8
40,42.0,M,168.0,61.0,14.9
41,52.0,M,173.6,84.9,30.3
42,39.0,M,173.3,69.8,23.8
43,33.0,F,159.6,60.5,32.1
44,25.0,F,161.8,57.7,21.7
45,31.0,M,169.9,73.1,19.2
46,34.0,M,183.6,76.82,16.3
47,26.0,M,172.1,66.1,24.9
48,28.0,M,180.1,82.1,15.0
49,58.0,M,164.2,64.0,19.8
50,48.0,M,169.8,75.4,14.7
51,23.0,M,180.1,65.9,14.4
